1,Brazil,CONMEBOL,3.12,0.28,93.19
2,Germany,UEFA,3.43,0.67,89.95
3,Argentina,CONMEBOL,2.84,0.39,89.65
4,Spain,UEFA,2.6,0.34,88.51
5,France,UEFA,2.97,0.54,88.3
6,England,UEFA,2.72,0.44,87.82
7,Portugal,UEFA,2.78,0.52,87.02
8,Netherlands,UEFA,2.53,0.55,83.98
9,Colombia,CONMEBOL,2.17,0.48,81.05
10,Belgium,UEFA,2.44,0.65,80.92
11,Italy,UEFA,2.31,0.58,80.65
12,Uruguay,CONMEBOL,2.08,0.51,79.24
13,Croatia,UEFA,2.2,0.6,78.82
14,Algeria,CAF,2.37,0.74,78.14
15,Denmark,UEFA,2.05,0.6,76.68
16,Switzerland,UEFA,2.19,0.7,76.42
17,Japan,AFC,2.04,0.62,75.96
18,Czech Republic,UEFA,2.18,0.74,75.42
19,Senegal,CAF,1.96,0.63,74.43
20,Mexico,CONCACAF,1.88,0.59,74.07
21,Serbia,UEFA,2.23,0.85,73.87
22,Ecuador,CONMEBOL,1.9,0.62,73.84
23,USA,CONCACAF,1.95,0.67,73.39
24,Austria,UEFA,2.11,0.79,73.2
25,Morocco,CAF,1.74,0.53,73.16
26,South Korea,AFC,1.96,0.72,72.35
27,Norway,UEFA,2.0,0.75,72.31
28,Canada,CONCACAF,1.96,0.75,71.81
29,Sweden,UEFA,2.07,0.87,70.76
30,Ukraine,UEFA,1.87,0.76,69.78
31,Chile,CONMEBOL,1.78,0.74,68.58
32,Scotland,UEFA,1.85,0.81,68.34
33,Iran,AFC,1.72,0.71,68.31
34,Venezuela,CONMEBOL,1.85,0.82,68.08
35,Poland,UEFA,1.85,0.82,68.05
36,Tunisia,CAF,1.56,0.61,67.83
37,Peru,CONMEBOL,1.82,0.82,67.59
38,Turkey,UEFA,2.03,1.01,67.18
39,Cameroon,CAF,1.77,0.81,66.79
40,Russia,UEFA,1.86,0.9,66.55
41,Greece,UEFA,1.53,0.63,66.54
42,Mali,CAF,1.41,0.57,65.72
43,Egypt,CAF,1.54,0.68,65.54
44,Hungary,UEFA,1.7,0.85,64.51
45,Nigeria,CAF,1.65,0.81,64.46
46,Australia,AFC,1.63,0.8,64.26
47,Paraguay,CONMEBOL,1.64,0.84,63.67
48,Rep of Ireland,UEFA,1.52,0.74,63.39
49,Wales,UEFA,1.58,0.83,62.48
50,Ivory Coast,CAF,1.61,0.87,62.09
51,Panama,CONCACAF,1.63,0.9,61.73
52,Ghana,CAF,1.57,0.89,60.86
53,Saudi Arabia,AFC,1.65,0.98,60.44
54,Basque Country,UEFA,1.63,1.0,59.32
55,Bosnia and Herzegovina,UEFA,1.6,0.99,59.2
56,Finland,UEFA,1.58,0.96,59.17
57,Romania,UEFA,1.59,1.02,58.01
58,New Zealand,OFC,1.53,0.98,57.61
59,Georgia,UEFA,1.48,0.95,57.41
60,Uzbekistan,AFC,1.63,1.11,56.86
61,Slovenia,UEFA,1.43,0.94,56.63
62,Jamaica,CONCACAF,1.53,1.03,56.54
63,Bolivia,CONMEBOL,1.72,1.23,56.1
64,Kosovo,UEFA,1.64,1.21,54.82
65,Israel,UEFA,1.87,1.43,54.72
66,Burkina Faso,CAF,1.31,0.92,54.38
67,Montenegro,UEFA,1.32,0.93,54.15
68,Northern Ireland,UEFA,1.41,1.03,54.09
69,Slovakia,UEFA,1.43,1.05,53.79
70,Guatemala,CONCACAF,1.39,1.04,53.23
71,North Macedonia,UEFA,1.34,1.0,52.86
72,Costa Rica,CONCACAF,1.38,1.05,52.66
73,Haiti,CONCACAF,1.56,1.24,52.62
74,Oman,AFC,1.17,0.85,52.46
75,South Africa,CAF,1.22,0.92,51.94
76,Gabon,CAF,1.27,1.01,51.1
77,Honduras,CONCACAF,1.41,1.15,50.99
78,Congo DR,CAF,1.33,1.08,50.96
79,Bahrain,AFC,1.42,1.17,50.92
80,Albania,UEFA,1.18,0.93,50.81
81,Uganda,CAF,1.19,0.96,50.23
82,Cape Verde Islands,CAF,1.19,1.01,49.32
83,Iceland,UEFA,1.36,1.18,49.29
84,Qatar,AFC,1.36,1.23,48.19
85,Angola,CAF,1.23,1.09,48.07
86,Zambia,CAF,1.48,1.4,47.35
87,Equatorial Guinea,CAF,1.14,1.04,47.16
88,Iraq,AFC,1.01,0.95,46.03
89,Ethiopia,CAF,1.24,1.21,45.56
90,United Arab Emirates,AFC,1.16,1.13,45.44
91,El Salvador,CONCACAF,1.19,1.18,45.14
92,Togo,CAF,1.25,1.25,45.1
93,Jordan,AFC,1.08,1.08,44.8
94,Bulgaria,UEFA,1.26,1.27,44.73
95,Namibia,CAF,1.03,1.05,44.03
96,Guinea,CAF,1.11,1.14,43.98
97,Luxembourg,UEFA,1.15,1.34,40.78
98,Benin,CAF,0.93,1.1,40.24
99,Kenya,CAF,1.09,1.3,40.21
100,Vietnam,AFC,0.99,1.17,40.17